GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	2C_Embryo1	2C_Embryo1-Q	2C_Embryo2	2C_Embryo2-Q	2C_Embryo3	2C_Embryo3-Q	4C_Embryo1	4C_Embryo1-Q	4C_Embryo2	4C_Embryo2-Q	4C_Embryo3	4C_Embryo3-Q
ERCC8	HsaALTD0002286-1/2	chr5:60200619-60200700	0	chr5:60200619+60200615-60200700,60199543	Alt5	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Pass	100.00	Fail
ERCC8	HsaALTD0002286-2/2	chr5:60200615-60200700	4	chr5:60200619+60200615-60200700,60199543	Alt5	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Pass	0.00	Fail
ADAMTS6	HsaALTD0000160-1/2	chr5:64587167-64587238	0	chr5:64587167+64587156-64587238,64569274	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
ADAMTS6	HsaALTD0000160-2/2	chr5:64587156-64587238	11	chr5:64587167+64587156-64587238,64569274	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
ADAMTS6	HsaALTD0000161-1/2	chr5:64558644-64558764	0	chr5:64558644+64558631-64558764,64556490	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
ADAMTS6	HsaALTD0000161-2/2	chr5:64558631-64558764	13	chr5:64558644+64558631-64558764,64556490	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
PER3	HsaALTD0004669-1/2	chr1:7870498-7870627	0	chr1:7870498-7870627+7870648,7879345	Alt5	80.00	Fail	66.67	Fail	50.00	Fail	NA	Fail	50.00	Fail	38.18	Pass
PER3	HsaALTD0004669-2/2	chr1:7870498-7870648	21	chr1:7870498-7870627+7870648,7879345	Alt5	20.00	Fail	33.33	Fail	50.00	Fail	NA	Fail	50.00	Fail	61.82	Pass
EPN3	HsaALTD0002263-1/2	chr17:-48610205	0	chr17:-48610205+48610346,48613782	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
EPN3	HsaALTD0002263-2/2	chr17:-48610346	141	chr17:-48610205+48610346,48613782	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
EPN3	HsaALTD0002264-1/2	chr17:48613410-48613560	0	chr17:48613410-48613560+48613639,48613782	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
EPN3	HsaALTD0002264-2/2	chr17:48613410-48613639	79	chr17:48613410-48613560+48613639,48613782	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
LTBP1	HsaALTD0003684-1/2	chr2:33487789-33487888	0	chr2:33487789-33487888+33487891,33488361	Alt5	100.00	Fail	100.00	Fail	100.00	Fail	0.00	Pass	0.00	Fail	97.67	Pass
LTBP1	HsaALTD0003684-2/2	chr2:33487789-33487891	3	chr2:33487789-33487888+33487891,33488361	Alt5	0.00	Fail	0.00	Fail	0.00	Fail	100.00	Pass	100.00	Fail	2.33	Pass
LTBP1	HsaALTD0003685-1/2	chr2:33500032-33500142	0	chr2:33500032-33500142+33500157,33500868	Alt5	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Fail	0.00	Pass
LTBP1	HsaALTD0003685-2/2	chr2:33500032-33500157	15	chr2:33500032-33500142+33500157,33500868	Alt5	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Fail	100.00	Pass
RCN1	HsaALTD0005348-1/2	chr11:32124550-32124704	0	chr11:32124550-32124704+32124748,32124827	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
RCN1	HsaALTD0005348-2/2	chr11:32124550-32124748	44	chr11:32124550-32124704+32124748,32124827	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
ELN	HsaALTD0002202-1/2	chr7:73449694-73449744	0	chr7:73449694-73449744+73450018,73450885	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
ELN	HsaALTD0002202-2/2	chr7:73449694-73450018	274	chr7:73449694-73449744+73450018,73450885	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
ELN	HsaALTD0002203-1/2	chr7:73467496-73467609	0	chr7:73467496-73467609+73467639,73470601	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
ELN	HsaALTD0002203-2/2	chr7:73467496-73467639	30	chr7:73467496-73467609+73467639,73470601	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
ELN	HsaALTD0002204-1/3	chr7:73470601-73470687	0	chr7:73470601-73470687+73470741+73470765,73471002	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
ELN	HsaALTD0002204-2/3	chr7:73470601-73470741	54	chr7:73470601-73470687+73470741+73470765,73471002	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
ELN	HsaALTD0002204-3/3	chr7:73470601-73470765	78	chr7:73470601-73470687+73470741+73470765,73471002	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
ELN	HsaALTD0002205-1/2	chr7:73474706-73474831	0	chr7:73474706-73474831+73474930,73475431	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
ELN	HsaALTD0002205-2/2	chr7:73474706-73474930	99	chr7:73474706-73474831+73474930,73475431	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
RFC2	HsaALTD0005366-1/2	chr7:73651692-73651771	0	chr7:73651692+73651619-73651771,73649975	Alt5	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Pass	100.00	Pass
RFC2	HsaALTD0005366-2/2	chr7:73651619-73651771	73	chr7:73651692+73651619-73651771,73649975	Alt5	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Pass	0.00	Pass
CLPTM1L	HsaALTD0001482-1/2	chr5:1331918-1331959	0	chr5:1331918+1331914-1331959,1330498	Alt5	0.00	Pass	0.81	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
CLPTM1L	HsaALTD0001482-2/2	chr5:1331914-1331959	4	chr5:1331918+1331914-1331959,1330498	Alt5	100.00	Pass	99.19	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
CLPTM1L	HsaALTD0001483-1/2	chr5:1338987-1339033	0	chr5:1338987+1338975-1339033,1338097	Alt5	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
CLPTM1L	HsaALTD0001483-2/2	chr5:1338975-1339033	12	chr5:1338987+1338975-1339033,1338097	Alt5	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
NEDD4L	HsaALTD0004267-1/2	chr18:55712304-55712981	0	chr18:55712304-55712981+55713020,55833020	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
NEDD4L	HsaALTD0004267-2/2	chr18:55712304-55713020	39	chr18:55712304-55712981+55713020,55833020	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
PTCD2	HsaALTD0005132-1/2	chr5:71616947-71617006	0	chr5:71616947-71617006+71617075,71617999	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
PTCD2	HsaALTD0005132-2/2	chr5:71616947-71617075	69	chr5:71616947-71617006+71617075,71617999	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
JKAMP	HsaALTD0003367-1/2	chr14:59961736-59961805	0	chr14:59961736-59961805+59961942,59965445	Alt5	0.00	Fail	0.00	Fail	NA	Fail	NA	Fail	0.00	Fail	0.00	Fail
JKAMP	HsaALTD0003367-2/2	chr14:59961736-59961942	137	chr14:59961736-59961805+59961942,59965445	Alt5	100.00	Fail	100.00	Fail	NA	Fail	NA	Fail	100.00	Fail	100.00	Fail
DKK3	HsaALTD0001942-1/2	chr11:11990013-11990031	0	chr11:11990013+11989942-11990031,11988645	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
DKK3	HsaALTD0001942-2/2	chr11:11989942-11990031	71	chr11:11990013+11989942-11990031,11988645	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
LIMA1	HsaALTD0003594-1/2	chr12:50643466-50643569	0	chr12:50643466+50643446-50643569,50642557	Alt5	25.00	Fail	NA	Fail	0.00	Fail	0.00	Fail	NA	Fail	0.00	Fail
LIMA1	HsaALTD0003594-2/2	chr12:50643446-50643569	20	chr12:50643466+50643446-50643569,50642557	Alt5	75.00	Fail	NA	Fail	100.00	Fail	100.00	Fail	NA	Fail	100.00	Fail
LETMD1	HsaALTD0003580-1/2	chr12:-51442154	0	chr12:-51442154+51442261,51442817	Alt5	0.00	Fail	0.00	Pass	0.00	Pass	0.00	Pass	4.26	Pass	4.00	Pass
LETMD1	HsaALTD0003580-2/2	chr12:-51442261	107	chr12:-51442154+51442261,51442817	Alt5	100.00	Fail	100.00	Pass	100.00	Pass	100.00	Pass	95.74	Pass	96.00	Pass
LETMD1	HsaALTD0003581-1/2	chr12:51445875-51445990	0	chr12:51445875-51445990+51446029,51447561	Alt5	100.00	Fail	100.00	Fail	92.75	Fail	100.00	Pass	98.17	Pass	100.00	Pass
LETMD1	HsaALTD0003581-2/2	chr12:51445875-51446029	39	chr12:51445875-51445990+51446029,51447561	Alt5	0.00	Fail	0.00	Fail	7.25	Fail	0.00	Pass	1.83	Pass	0.00	Pass
BCAR1	HsaALTD0000675-1/2	chr16:75270780-75270896	0	chr16:75270780+75270726-75270896,75269884	Alt5	100.00	Fail	100.00	Fail	100.00	Fail	NA	Fail	100.00	Fail	100.00	Pass
BCAR1	HsaALTD0000675-2/2	chr16:75270726-75270896	54	chr16:75270780+75270726-75270896,75269884	Alt5	0.00	Fail	0.00	Fail	0.00	Fail	NA	Fail	0.00	Fail	0.00	Pass
FAM160A2	HsaALTD0002401-1/2	chr11:6239830-6239993	0	chr11:6239830+6239788-6239993,6239380	Alt5	93.92	Fail	82.26	Fail	79.44	Fail	NA	Fail	30.04	Fail	100.00	Fail
FAM160A2	HsaALTD0002401-2/2	chr11:6239788-6239993	42	chr11:6239830+6239788-6239993,6239380	Alt5	6.08	Fail	17.74	Fail	20.56	Fail	NA	Fail	69.96	Fail	0.00	Fail
HERPUD1	HsaALTD0003017-1/2	chr16:56973812-56974000	0	chr16:56973812-56974000+56974157,56976044	Alt5	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	3.16	Pass
HERPUD1	HsaALTD0003017-2/2	chr16:56973812-56974157	157	chr16:56973812-56974000+56974157,56976044	Alt5	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	96.84	Pass
HOMER3	HsaALTD0003103-1/2	chr19:19042140-19042211	0	chr19:19042140+19042134-19042211,19040443	Alt5	NA	Fail	NA	Fail	0.00	Fail	NA	Fail	NA	Fail	0.00	Fail
HOMER3	HsaALTD0003103-2/2	chr19:19042134-19042211	6	chr19:19042140+19042134-19042211,19040443	Alt5	NA	Fail	NA	Fail	100.00	Fail	NA	Fail	NA	Fail	100.00	Fail
PIK3CB	HsaALTD0004767-1/2	chr3:138416824-138416891	0	chr3:138416824+138416774-138416891,138413749	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
PIK3CB	HsaALTD0004767-2/2	chr3:138416774-138416891	50	chr3:138416824+138416774-138416891,138413749	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
PIK3CB	HsaALTD0004768-1/2	chr3:138495621-138495761	0	chr3:138495621+138495610-138495761,138478201	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
PIK3CB	HsaALTD0004768-2/2	chr3:138495610-138495761	11	chr3:138495621+138495610-138495761,138478201	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
HEBP2	HsaALTD0003002-1/2	chr6:138727108-138727170	0	chr6:138727108-138727170+138727288,138734017	Alt5	NA	Fail	NA	Fail	0.00	Fail	NA	Fail	NA	Fail	0.00	Fail
HEBP2	HsaALTD0003002-2/2	chr6:138727108-138727288	118	chr6:138727108-138727170+138727288,138734017	Alt5	NA	Fail	NA	Fail	100.00	Fail	NA	Fail	NA	Fail	100.00	Fail
MPHOSPH9	HsaALTD0003991-1/2	chr12:123672413-123672503	0	chr12:123672413+123672365-123672503,123665757	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
MPHOSPH9	HsaALTD0003991-2/2	chr12:123672365-123672503	48	chr12:123672413+123672365-123672503,123665757	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
PLEKHA5	HsaALTD0004835-1/2	chr12:19496257-19496353	0	chr12:19496257-19496353+19496368,19498776	Alt5	0.00	Pass	0.00	Pass	2.86	Pass	15.79	Pass	2.90	Pass	0.00	Pass
PLEKHA5	HsaALTD0004835-2/2	chr12:19496257-19496368	15	chr12:19496257-19496353+19496368,19498776	Alt5	100.00	Pass	100.00	Pass	97.14	Pass	84.21	Pass	97.10	Pass	100.00	Pass
SIKE1	HsaALTD0005910-1/3	chr1:115323070-	0	chr1:115323070+115323058+115323008-,115322836	Alt5	83.51	Pass	70.21	Pass	90.24	Pass	88.12	Pass	80.78	Pass	84.71	Pass
SIKE1	HsaALTD0005910-2/3	chr1:115323058-	12	chr1:115323070+115323058+115323008-,115322836	Alt5	16.49	Pass	29.79	Pass	9.76	Pass	11.88	Pass	19.22	Pass	15.29	Pass
SIKE1	HsaALTD0005910-3/3	chr1:115323008-	62	chr1:115323070+115323058+115323008-,115322836	Alt5	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
SC4MOL	HsaALTD0005678-1/2	chr4:166249079-166249098	0	chr4:166249079-166249098+166249274,166254492	Alt5	NA	Fail	NA	Fail	100.00	Fail	NA	Fail	NA	Fail	NA	Fail
SC4MOL	HsaALTD0005678-2/2	chr4:166249079-166249274	176	chr4:166249079-166249098+166249274,166254492	Alt5	NA	Fail	NA	Fail	0.00	Fail	NA	Fail	NA	Fail	NA	Fail
MRTO4	HsaALTD0004049-1/2	chr1:-19578357	0	chr1:-19578357+19578742,19581276	Alt5	89.88	Pass	96.30	Pass	95.38	Pass	100.00	Pass	89.17	Pass	81.90	Pass
MRTO4	HsaALTD0004049-2/2	chr1:-19578742	385	chr1:-19578357+19578742,19581276	Alt5	10.12	Pass	3.70	Pass	4.62	Pass	0.00	Pass	10.83	Pass	18.10	Pass
NNAT	HsaALTD0004338-1/2	chr20:-36149805	0	chr20:-36149805+36150090,36151069	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
NNAT	HsaALTD0004338-2/2	chr20:-36150090	285	chr20:-36149805+36150090,36151069	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
LAMA3	HsaALTD0003535-1/2	chr18:21487517-21487575	0	chr18:21487517-21487575+21487630,21487720	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	0.00	Fail	NA	Fail
LAMA3	HsaALTD0003535-2/2	chr18:21487517-21487630	55	chr18:21487517-21487575+21487630,21487720	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	100.00	Fail	NA	Fail
ANAPC4	HsaALTD0000300-1/2	chr4:25381996-25382067	0	chr4:25381996-25382067+25382101,25384883	Alt5	20.00	Pass	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Pass	0.00	Fail
ANAPC4	HsaALTD0000300-2/2	chr4:25381996-25382101	34	chr4:25381996-25382067+25382101,25384883	Alt5	80.00	Pass	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Pass	100.00	Fail
ANAPC4	HsaALTD0000301-1/2	chr4:25407223-25407241	0	chr4:25407223-25407241+25407244,25408451	Alt5	80.95	Pass	84.21	Fail	90.20	Pass	87.08	Pass	87.60	Pass	93.44	Pass
ANAPC4	HsaALTD0000301-2/2	chr4:25407223-25407244	3	chr4:25407223-25407241+25407244,25408451	Alt5	19.05	Pass	15.79	Fail	9.80	Pass	12.92	Pass	12.40	Pass	6.56	Pass
TRAPPC3	HsaALTD0006759-1/2	chr1:36614861-36614888	0	chr1:36614861+36614693-36614888,36605767	Alt5	0.00	Fail	0.00	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
TRAPPC3	HsaALTD0006759-2/2	chr1:36614693-36614888	168	chr1:36614861+36614693-36614888,36605767	Alt5	100.00	Fail	100.00	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
PHPT1	HsaALTD0004736-1/2	chr9:139744465-139744573	0	chr9:139744465-139744573+139744589,139745207	Alt5	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Fail	0.00	Pass	0.00	Pass
PHPT1	HsaALTD0004736-2/2	chr9:139744465-139744589	16	chr9:139744465-139744573+139744589,139745207	Alt5	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Fail	100.00	Pass	100.00	Pass
ARID4B	HsaALTD0000452-1/2	chr1:235418979-235419061	0	chr1:235418979+235418975-235419061,235416124	Alt5	5.67	Pass	5.47	Pass	3.70	Pass	3.31	Pass	4.05	Pass	3.50	Pass
ARID4B	HsaALTD0000452-2/2	chr1:235418975-235419061	4	chr1:235418979+235418975-235419061,235416124	Alt5	94.33	Pass	94.53	Pass	96.30	Pass	96.69	Pass	95.95	Pass	96.50	Pass
ARID4B	HsaALTD0000453-1/2	chr1:235377192-235377231	0	chr1:235377192+235377084-235377231,235359430	Alt5	3.12	Pass	0.69	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Fail
ARID4B	HsaALTD0000453-2/2	chr1:235377084-235377231	108	chr1:235377192+235377084-235377231,235359430	Alt5	96.88	Pass	99.31	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Fail
OPN3	HsaALTD0004498-1/2	chr1:241767722-241767881	0	chr1:241767722+241767562-241767881,241761299	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
OPN3	HsaALTD0004498-2/2	chr1:241767562-241767881	160	chr1:241767722+241767562-241767881,241761299	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
TBC1D22A	HsaALTD0006388-1/2	chr22:47188565-47188659	0	chr22:47188565-47188659+47188701,47189398	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
TBC1D22A	HsaALTD0006388-2/2	chr22:47188565-47188701	42	chr22:47188565-47188659+47188701,47189398	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
FAM168A	HsaALTD0002404-1/2	chr11:73118580-73118688	0	chr11:73118580+73118558-73118688,73117789	Alt5	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
FAM168A	HsaALTD0002404-2/2	chr11:73118558-73118688	22	chr11:73118580+73118558-73118688,73117789	Alt5	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
C1orf144	HsaALTD0000897-1/2	chr1:16693760-16693802	0	chr1:16693760-16693802+16693803,16719726	Alt5	1.48	Pass	0.68	Pass	0.00	Pass	1.28	Pass	0.84	Pass	1.34	Pass
C1orf144	HsaALTD0000897-2/2	chr1:16693760-16693803	1	chr1:16693760-16693802+16693803,16719726	Alt5	98.52	Pass	99.32	Pass	100.00	Pass	98.72	Pass	99.16	Pass	98.66	Pass
CUL1	HsaALTD0001738-1/2	chr7:-148395370	0	chr7:-148395370+148395632,148427054	Alt5	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	36.84	Fail
CUL1	HsaALTD0001738-2/2	chr7:-148395632	262	chr7:-148395370+148395632,148427054	Alt5	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	63.16	Fail
FAM114A2	HsaALTD0002370-1/3	chr5:153418417-	0	chr5:153418417+153418396+153418387-,153414527	Alt5	99.42	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
FAM114A2	HsaALTD0002370-2/3	chr5:153418396-	21	chr5:153418417+153418396+153418387-,153414527	Alt5	0.58	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
FAM114A2	HsaALTD0002370-3/3	chr5:153418387-	30	chr5:153418417+153418396+153418387-,153414527	Alt5	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
FAM114A2	HsaALTD0002371-1/2	chr5:153417948-153417994	0	chr5:153417948+153417853-153417994,153414527	Alt5	5.36	Pass	12.50	Pass	3.64	Pass	43.24	Pass	37.68	Pass	11.11	Pass
FAM114A2	HsaALTD0002371-2/2	chr5:153417853-153417994	95	chr5:153417948+153417853-153417994,153414527	Alt5	94.64	Pass	87.50	Pass	96.36	Pass	56.76	Pass	62.32	Pass	88.89	Pass
CYFIP2	HsaALTD0001768-1/2	chr5:156721792-156721867	0	chr5:156721792-156721867+156721868,156723679	Alt5	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Pass	NA	Fail	100.00	Fail
CYFIP2	HsaALTD0001768-2/2	chr5:156721792-156721868	1	chr5:156721792-156721867+156721868,156723679	Alt5	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Pass	NA	Fail	0.00	Fail
CYFIP2	HsaALTD0001769-1/2	chr5:156714028-156714083	0	chr5:156714028-156714083+156714117,156721792	Alt5	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Pass	NA	Fail	0.00	Fail
CYFIP2	HsaALTD0001769-2/2	chr5:156714028-156714117	34	chr5:156714028-156714083+156714117,156721792	Alt5	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Pass	NA	Fail	100.00	Fail
EIF2AK2	HsaALTD0002151-1/2	chr2:37347123-37347282	0	chr2:37347123+37347102-37347282,37336438	Alt5	5.93	Fail	9.43	Fail	2.97	Fail	0.97	Fail	0.00	Fail	0.00	Fail
EIF2AK2	HsaALTD0002151-2/2	chr2:37347102-37347282	21	chr2:37347123+37347102-37347282,37336438	Alt5	94.07	Fail	90.57	Fail	97.03	Fail	99.03	Fail	100.00	Fail	100.00	Fail
USP36	HsaALTD0007078-1/2	chr17:76836818-	0	chr17:76836818+76836743-,76834832	Alt5	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Pass	100.00	Pass
USP36	HsaALTD0007078-2/2	chr17:76836743-	75	chr17:76836818+76836743-,76834832	Alt5	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Pass	0.00	Pass
MLL3	HsaALTD0003944-1/2	chr7:152008998-152009029	0	chr7:152008998+152008883-152009029,152007160	Alt5	0.00	Pass	0.00	Pass	1.62	Pass	0.00	Pass	0.00	Pass	0.00	Pass
MLL3	HsaALTD0003944-2/2	chr7:152008883-152009029	115	chr7:152008998+152008883-152009029,152007160	Alt5	100.00	Pass	100.00	Pass	98.38	Pass	100.00	Pass	100.00	Pass	100.00	Pass
MLL3	HsaALTD0003945-1/2	chr7:151949057-151949161	0	chr7:151949057+151949024-151949161,151948051	Alt5	3.80	Pass	3.74	Pass	2.76	Pass	14.40	Pass	2.80	Pass	5.32	Pass
MLL3	HsaALTD0003945-2/2	chr7:151949024-151949161	33	chr7:151949057+151949024-151949161,151948051	Alt5	96.20	Pass	96.26	Pass	97.24	Pass	85.60	Pass	97.20	Pass	94.68	Pass
MLL3	HsaALTD0003946-1/2	chr7:151919099-151919151	0	chr7:151919099+151919086-151919151,151917820	Alt5	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.01	Pass
MLL3	HsaALTD0003946-2/2	chr7:151919086-151919151	13	chr7:151919099+151919086-151919151,151917820	Alt5	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	99.99	Pass
MLL3	HsaALTD0003947-1/2	chr7:151855948-151856157	0	chr7:151855948+151855942-151856157,151855010	Alt5	100.00	Fail	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	95.84	Pass
MLL3	HsaALTD0003947-2/2	chr7:151855942-151856157	6	chr7:151855948+151855942-151856157,151855010	Alt5	0.00	Fail	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	4.16	Pass
MLL3	HsaALTD0003948-1/2	chr7:151842250-151842380	0	chr7:151842250+151842238-151842380,151841966	Alt5	88.79	Pass	75.77	Pass	77.40	Pass	74.11	Pass	66.73	Pass	82.85	Pass
MLL3	HsaALTD0003948-2/2	chr7:151842238-151842380	12	chr7:151842250+151842238-151842380,151841966	Alt5	11.21	Pass	24.23	Pass	22.60	Pass	25.89	Pass	33.27	Pass	17.15	Pass
MCOLN3	HsaALTD0003831-1/2	chr1:85513258-85513292	0	chr1:85513258+85512993-85513292,85511045	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
MCOLN3	HsaALTD0003831-2/2	chr1:85512993-85513292	265	chr1:85513258+85512993-85513292,85511045	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
PUM2	HsaALTD0005182-1/2	chr2:20458004-20458132	0	chr2:20458004+20457998-20458132,20455931	Alt5	89.19	Pass	85.97	Pass	81.73	Pass	82.24	Pass	79.75	Pass	92.70	Pass
PUM2	HsaALTD0005182-2/2	chr2:20457998-20458132	6	chr2:20458004+20457998-20458132,20455931	Alt5	10.81	Pass	14.03	Pass	18.27	Pass	17.76	Pass	20.25	Pass	7.30	Pass
MRPL43	HsaALTD0004028-1/2	chr10:102743791-102743831	0	chr10:102743791+102743705-102743831,102743574	Alt5	0.00	Fail	0.00	Fail	0.00	Fail	0.99	Pass	0.00	Pass	0.00	Pass
MRPL43	HsaALTD0004028-2/2	chr10:102743705-102743831	86	chr10:102743791+102743705-102743831,102743574	Alt5	100.00	Fail	100.00	Fail	100.00	Fail	99.01	Pass	100.00	Pass	100.00	Pass
MRPL43	HsaALTD0004029-1/2	chr10:102746506-102746576	0	chr10:102746506+102746444-102746576,102743574	Alt5	25.00	Fail	0.00	Fail	100.00	Fail	71.26	Fail	95.92	Pass	86.09	Pass
MRPL43	HsaALTD0004029-2/2	chr10:102746444-102746576	62	chr10:102746506+102746444-102746576,102743574	Alt5	75.00	Fail	100.00	Fail	0.00	Fail	28.74	Fail	4.08	Pass	13.91	Pass
ITIH1	HsaALTD0003351-1/2	chr3:52813448-52813610	0	chr3:52813448-52813610+52813893,52814285	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
ITIH1	HsaALTD0003351-2/2	chr3:52813448-52813893	283	chr3:52813448-52813610+52813893,52814285	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
ZNF280C	HsaALTD0007407-1/2	chrX:129402736-	0	chrX:129402736+129402671-,129394439	Alt5	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
